tract,med_hh_income,number_of_households,csa
6037400602,85369,1461,Los Angeles - Boyle Heights
6037400603,96845,1931,Los Angeles - Boyle Heights
6037400605,98850,2479,Los Angeles - Boyle Heights
6037400801,124401,1937,Los Angeles - Boyle Heights
6037401001,130764,959,Los Angeles - Boyle Heights
6037401002,87634,1578,Los Angeles - Boyle Heights
6037401101,80161,1862,Los Angeles - Boyle Heights
6037401102,99773,1340,Los Angeles - Boyle Heights
6037401201,139450,1055,Los Angeles - Boyle Heights
6037401202,107750,1331,Los Angeles - Boyle Heights
6037401203,106592,1533,Los Angeles - Boyle Heights
6037401303,136019,810,Los Angeles - Boyle Heights
6037401304,134516,1812,Los Angeles - Boyle Heights
6037401311,93036,2518,Los Angeles - Boyle Heights
6037401312,71667,1844,Los Angeles - Boyle Heights
6037401500,92708,1886,Los Angeles - Boyle Heights
6037401601,98786,2333,Los Angeles - Boyle Heights
6037401602,79740,2123,Los Angeles - Boyle Heights
6037401705,135339,951,Los Angeles - Boyle Heights
6037401706,92353,1710,Los Angeles - Boyle Heights
6037401707,73250,2772,Los Angeles - Boyle Heights
6037401801,158189,1591,Los Angeles - Boyle Heights
6037401802,133676,1350,Los Angeles - Boyle Heights
,106820.3478,39166,
6037407901,104375,887,Los Angeles - Echo Park
6037407902,85450,519,Los Angeles - Echo Park
6037408003,103472,1234,Los Angeles - Echo Park
,97765.66667,2640,
6037480902,64732,1387,Los Angeles - Koreatown
6037480903,86667,1096,Los Angeles - Koreatown
6037481001,71339,1668,Los Angeles - Koreatown
6037481002,84098,2067,Los Angeles - Koreatown
6037481101,98047,1456,Los Angeles - Koreatown
6037481102,81442,1266,Los Angeles - Koreatown
6037481103,76930,1876,Los Angeles - Koreatown
6037481201,91042,1224,Los Angeles - Koreatown
6037481203,79504,1912,Los Angeles - Koreatown
6037481300,75549,834,Los Angeles - Koreatown
6037481401,83512,1710,Los Angeles - Koreatown
6037481403,79612,882,Los Angeles - Koreatown
6037481404,74183,1199,Los Angeles - Koreatown
6037481500,78479,1543,Los Angeles - Koreatown
6037481603,81974,1236,Los Angeles - Koreatown
,80474,21356,
